Storno;Markierung;letzte Version;Datum;DocID;Typ;Bezeichnung;Von;Version;Aktenplanzuordnung;Ausgang;Ext.;ggf. externer Pfad;letzter Export;Datei;Vorlagen-Nr.;ID;
"";Nein;01.01.2024;01.01.2024;"SAMPLE001.MSG";"DaD";"Mail Beispieltext - Korrespondenz";"KU1";1;"Verwendungsnachweis";;"";"";;210;;1.000.000.001;
"";Nein;01.01.2024;01.01.2024;"SAMPLE002.PDF";"DaD";"Vermerk Beispiel";"KU2";1;"Betreuung";;"";"";;210;;1.000.000.002;
"";Nein;01.01.2024;01.01.2024;"SAMPLE003.pdf";"DOK";"16XX0001_Ausgang_ZuwB";"KU3";1;"2.1 Bescheide";;"";"";;206;;1.000.000.003;
"";Nein;01.01.2024;01.01.2024;"SAMPLE004.DOCX";"DOK";"16YY00001 Entwurf Schlussbescheid";"KU4";1;"5. Verwendungsnachweis";;"";"";01.01.2024;206;;1.000.000.004;
"";Nein;01.01.2024;01.01.2024;"SAMPLE005.docx";"BRF";"16KN000001_Aenderungsbescheid";"KU5";1;"7 Irrelevante Unterlagen";;"";"";;210;7.800.001;1.000.000.005;
"";Nein;01.01.2024;01.01.2024;"SAMPLE006.PDF";"DaD";"16KN000002_AB Beispiel-Mittelumstellung";"KU6";1;"6.2 QS zur Betreuung";;"";"";01.01.2024;206;;1.000.000.006;
"";Nein;01.02.2024;01.02.2024;"SAMPLE007.msg";"DOK";"16KN000003_Mail_Beispiel ACME";"KU1";1;"2.7 De-minimis";;"";"";;206;;1.000.000.007;
"";Nein;01.02.2024;01.02.2024;"SAMPLE008.pdf";"DOK";"16KN000003_html_Beispiel ACME";"KU1";1;"2.7 De-minimis";;"";"";;206;;1.000.000.008;
"";Nein;01.02.2024;01.02.2024;"SAMPLE009.pdf";"DOK";"16KN000003_pdf_Beispiel ACME";"KU1";1;"2.7 De-minimis";;"";"";;206;;1.000.000.009;
"";Nein;01.02.2024;01.02.2024;"SAMPLE010.XLSM";"DaD";"16KN000004_Checkliste_Beispiel";"KU2";1;"0.2 Checklisten";;"";"";;210;;1.000.000.010;
