Kürzel;Beschreibung;wird gesetzt von:
XYT;Tel.:;neutral
COMP;Compounddokument;neutral
YG;Beratungsgespräch bei VDI/VDE-IT;neutral
YT;Telefonat mit;neutral
YE;E-Mail;neutral
YFO;Eingang Foyer;neutral
YB;Brief;neutral
YF;Fax;neutral
YJ;juristisches Schreiben eingegangen;neutral
YJE;juristisches Schreiben ohne QS-Bedarf erstellt;Juristen
YJEQS;juristisches Schreiben mit QS-Bedarf erstellt;Juristen
YJQ;QS juristisches Schreiben erfolgt;Juristen
YJZ;juristisches Schreiben wurde versendet;neutral
XCARE;Marker für kritisches Projekt in der Begleitung;neutral
XJURB;juristische Bearbeiter:in;neutral
YZU;Zustellungsurkunde an Ast/ZE;PA
YZUN;Zustellung nicht möglich;neutral
YZUD;Zustellung an Person/Briefkasten/sonstiges;PA
YRP;Rücknahme ist eingegangen -> zur Prüfung an AB;neutral
YWSP;Widerspruch ist eingegangen;neutral
YWSP?;Widerspruch ist unvollständig;Juristen
YWSP-;Widerspruch ist unzulässig;AB
YKA;Eingang Klage vor Bewilligung;neutral
YKB;Eingang Klage nach Bewilligung;neutral
YW;Wichtig;neutral
HINT;Bemerkung: ;neutral
ANT;Termin für Nachlieferung;AB/FB
VME;Vollmacht NWME/Berater mit Einschränkungen;neutral
VOE;Vollmacht NWME/Berater ohne Einschränkungen;neutral
NA;Eingang Änderung Firmendaten;neutral
NE;Änderung Firmendaten erledigt;neutral
AKTK;Aktennotiz kaufm. erstellt/ergänzt/keine Ergänzung;AB
AKTT;Aktennotiz fachl. erstellt/ergänzt/keine Ergänzung;FB
AKTF;Aktennotiz ist fertig (Grund (adm./fachl.));AB/FB
AKTQ;QS der Aktennotiz ohne Bescheid als Folge ist erfolgt;QS
AKTQB;QS der Aktennotiz ist erfolgt - weiter mit Juristen;QS
AKTQZ;QS Rückforderungs-/Erstattungsbetrag und Zinsen erfolgt;QS
ARK;Rücknahmeempfehlung adm. erstellt/ergänzt/keine Ergänzung;AB
ART;Rücknahmeempfehlung techn. erstellt/ergänzt/keine Ergänzung;FB
ARF;Entwurf Rücknahmeempfehlung fertig;AB
ARQ-;QS RNE zurück an AB/FB;QS
ARQ;Rücknahmeempfehlung Qualitätssicherung;QS
ARZ;Rücknahmeempfehlung an Ast;PA
ARR;Termin Rücknahmeempfehlung;neutral
AAR;Antrag vom ASt zurückgezogen;AB
ARW;Stellungnahme des Ast zur Rücknahmeempfehlung;neutral
ABLK;Ablehnung adm. erstellt/ergänzt/keine Ergänzung;AB
ABLT;Ablehnung tech. erstellt/ergänzt/keine Ergänzung;FB
ABLF;Entwurf Ablehnung fertig;AB/FB
XABLF;"""alle"" Ablehnungen erstellt";AB/FB
ABLQ-;QS Ablehnung QS zurück an AB/FB;QS
ABLQ;Ablehnung Qualitätssicherung;QS
ABLJ;Ablehnung juristische Qualitätssicherung;Juristen
ABLQS;Finale Qualitätssicherung Ablehnung;QS
ABLZ;Ablehnung an Ast;PA
AAA;allgemeine Ablehnung;neutral
ABL10;10. Ablehnung an BMWK;PA
ABL10+;10. Ablehnung Freigabe durch BMWK;PA
ABLD;Termin Ablehnung bestandskräftig;PA
ABLW;Widerspruch gegen Ablehnungsbescheid;neutral
ABLWR;Widerspruch zur Ablehnung zurückgezogen;neutral
ABLWE;pos/neg Widerspruchsbescheid erstellt;AB/FB
ABLWJ;pos/neg Widerspruchsbescheid juristische QS;Juristen
ABLWQ;pos/neg Widerspruchsbescheid QS ist erfolgt;QS
ABLWG;Widerspruchsbescheid zur Kenntnisnahme / zur Freigabe ans BMWE;PA
ABLWG+;Freigabe Widerspruchsbescheid vom BMWE erfolgt / nicht erforderlich;PA
ABLWZ;negativer Widerspruchsbescheid nach Ablehnung;PA
ABLWD;Termin Widerspruchsbescheid rechtskräftig;PA
AZBWZ;positiver Widerspruchsbescheid nach Ablehnung;PA
STIP;Stichprobe;neutral
SPDOK;Stichprobendokumente an ZG;neutral
STZG;Akte zur Stichprobe an ZG;neutral
STIT;Stichprobe zurück an IT;neutral
STOK;Stichprobe ok;neutral
AA;Antrag vom ASt unterschrieben;PA
AAE;Antragseingang;PA
AAI;"Antragsimport aus ZIM-Foyer oder FZD (Vorgangscode: ""IDENTCODE FOYER"")";PA
AAE2;Antragseingang 2;PA
ABK;beantragte Kosten (Deckblatt Mantelbogen);AB
ADV;Antrag in C16 eingestellt;PA
AE;Eingangsbestätigung an Ast;PA
AUS;Unternehmen in Schwiergigkeiten;AB
ANRD;Nachrangdarlehen vorhanden - (nicht) i.O.;AB
ALS;TB ohne (weitere) Nachforderungen;FB
ALSB;BB ohne (weitere) Nachforderungen;AB
ALT;Brief NF von BB angelegt/ergänzt;AB
ALU;Brief NF von TB angelegt/ergänzt;FB
ALF;Nachforderung fertig für QS;AB/FB
ALQ;NF von PL gelesen;QS
AN;NF an ASt;AB/FB/QS
ANM;Mahnung Nachforderung;AB/FB
AL;Nachlieferung Eingang;neutral
AMA;Mitarbeiter Anzahl Anlage 1;AB
AT4;Gutachten technisch fertig;FB
AK4;Gutachten kaufmännisch fertig;AB
XKS;DL-Gutachten fertig - FB/AB;AB/FB
AQ4-;fachliche QS zurück an FB;QS
AQ4;fachliche QS fertig;QS
QS-;kaufmännische QS zurück an AB;QS
QS;kaufmännische QS erfolgt;QS
XQS;DL-Gutachten QS fertig;QS
ABX;Bewilligung ausgestezt;QS
